,Country,Acs_Water_Service,BMI18,BMI25,BMI30,Diab,Hyp_Ten,Insuf_Phy,N_HDL_Chol,PM2.5,R_Bld_P,Alc_pcgmp,Male.Life.Exp,Female.Life.Exp,Hep83,MCV1,Pol3,DTP3,HIV,PCGMP,Pop,EduAvg,P_Ciga,Tax_Ciga,HDL_Chol,Cal_Daily,Isc_Stroke_Death,Hae_Stroke_Death,Cancer_Death,Res_Dis_Death
40,Cuba,94.15,4.77,53.07,20.01,11.64,39.9,57.35,3.3,13.32,26.85,4.75,75.3,80.12,99,99,99,99,0.37,9139.38051,11316697,11.61,NA,NA,1.2,3424.0002,6809.33,3778.5,125.31512,8700.08
41,Cyprus,99.77,2.15,53.91,22.43,7.16,30.8,41.1,3.5,14.52,20.55,7.93,80.2,84.16,95,86,95,95,0.07,29419.99219,1228836,12.42,5.33,0.74,1.4,3043,338.06,179.64,88.99595,132.25
42,Czechia,99.88,1.94,58.4,24.62,7.28,41.6,23.25,3.5,14.34,26.82,12.91,76.3,81.93,97,92,97,97,0.03,23664.84786,10671870,12.93,4.89,0.77,1.5,3344.998,5972.99,1862.29,125.63644,4023.68
43,Democratic People's Republic of Korea,93.82,10.72,33.92,9.36,11.83,26.5,25.78,3.4,41.46,20.55,3.37,69.34,75.3,97,98,98,97,NA,NA,NA,NA,2.14,0,NA,NA,NA,NA,NA,NA
44,Democratic Republic of the Congo,35.68,14.34,19.96,5.81,8.87,34.3,15.02,2.8,31.58,30.31,1.08,59.67,64.08,73,65,74,73,NA,NA,NA,NA,0.51,0.52,NA,NA,NA,NA,NA,NA
45,Denmark,100,2.55,44.85,12.98,2.39,35.9,13.63,3.2,9.66,32.58,9.23,79.49,83.06,NA,96,97,97,0.05,59592.98069,5814422,11.69,9.71,0.78,1.4,3581.0005,2192.42,1288.69,123.59832,1987.58
46,Djibouti,76,13.02,27.49,9.85,8.16,34.2,17.01,2.9,19.98,30.38,0.27,63.63,67.27,85,83,85,85,NA,2876.043664,1073994,NA,NA,NA,1.1,2793.9766,247.61,460.28,NA,691.05
47,Dominican Republic,96.14,4.43,60.93,27.12,16.01,49.1,35.61,3.6,7.59,38.52,5.62,70.87,77.18,87,96,92,89,0.63,8173.344699,10881882,9.04,5.13,0.44,1.2,3049.9983,2599.77,3338.74,NA,2227.84
48,Ecuador,95.01,1.51,64.66,24.99,11.43,27.2,22.32,3.8,16.55,19.39,2.98,75.32,80.23,85,83,85,85,0.21,6203.727051,17343740,9.07,5.7,0.67,1.2,2505.9998,2813.8,3160.56,74.41811,5286.93
49,Egypt,98.76,1.52,72.56,42.37,25.81,38.2,33.35,3.3,63.16,31.03,0.15,68.97,74.3,95,95,95,95,NA,NA,NA,8.01,1.07,0.79,1.1,3138,53732.55,17374.89,42.517662,23621.43
50,El Salvador,97.82,2.52,64.98,29.19,12.52,32.7,37.91,3.5,22.15,19.79,2.92,69.48,78.73,96,96,97,96,0.24,4280.288404,6280217,8.1,3.17,0.47,0.9,2821.9993,990.94,983.5,NA,1929.32
51,Estonia,99.99,2.14,56.15,21.79,7.83,40.2,15.45,3.6,6.35,33.87,11.85,74.69,82.61,91,88,91,91,0.23,23581.65684,1326898,12.29,4.74,0.88,1.4,3253.0024,847.72,272.42,127.96367,351.12
52,Eswatini,70.43,4.32,54.53,27.74,11.24,42.5,19.59,2.8,15.07,37.26,7.13,52.47,59.38,90,81,89,90,13.95,3843.380046,1169613,6.46,2.57,0.54,1.2,2486.9788,338.13,584.59,NA,975.66
53,Ethiopia,47.25,24.58,9.76,2.31,6.39,27.4,9.75,2.9,21.8,25.71,1.85,67.17,70.54,68,57,69,68,0.16,840.4496013,114120594,NA,1.15,0.51,1,2411,8717.66,23237.32,NA,57345.04
54,Fiji,95.38,4.22,64.1,31.96,22.64,38.6,16.14,3.8,7.36,33.75,3.05,65.78,70.09,97,96,97,97,0.4,5927.72419,918465,11.52,8.2,0.37,1,2822.9937,178.78,523.09,NA,240.36
55,Finland,100,1.55,54.93,20.75,6.74,35.9,11.21,3.5,5.47,25.97,8.32,79.11,84.15,NA,96,91,91,NA,48629.85823,5521606,11.05,10.25,0.88,1.5,3339.0007,3110.12,1505.28,95.75032,278.38
56,France,100,4.41,35.76,10.26,3.06,29.1,25.22,3.7,10.46,20.9,11.46,79.77,85.15,93,92,96,96,0.2,40494.89829,67388001,11.89,11.85,0.83,1.5,3535,23654.57,12906.34,108.23072,20929.74
57,Gabon,85.98,7.15,44.91,19.13,12.74,37.4,21.13,2.8,26.29,32.42,6.6,62.61,67.75,70,62,70,70,1.09,7523.862278,2242785,10.18,1.81,0.22,1.2,2605.0024,478.45,586,NA,1071.11
58,Gambia,83.9,11.51,37.51,12.98,12.02,37.6,21.12,2.9,39.1,33.95,0.86,62.91,66.98,88,85,88,88,NA,NA,NA,4.92,1.35,0.49,1.1,2474.9978,575.49,712.46,NA,1566.78
59,Georgia,94.44,2.99,63.72,32.46,9.3,44.5,22.62,3.1,19.06,36.98,7.64,69.1,78.44,94,99,94,94,0.28,4741.283272,3720161,NA,1.63,0.81,1,3056.9968,6935.92,4071.3,124.91433,2240.91
60,Germany,100,1.89,54.13,20.37,6.55,29.7,12.98,3.4,10.73,16.29,11.11,78.75,83.19,88,97,91,91,0.06,46805.13843,83092962,13.1,8.29,0.64,1.5,3634.9998,40933.46,17915.45,111.14273,21925.18
61,Ghana,85.24,7.16,34.98,11.98,9.01,33.9,20.4,3.3,46.04,27.39,1.88,63.47,68.59,97,92,97,97,1.2,2167.925276,31522290,8.39,0.88,0.32,1.2,3009.9995,10214.59,11568.79,NA,15362.46
62,Greece,100,1.96,60.82,26.88,7.15,31.3,34.35,3.5,14.62,20.92,6.62,78.8,83.01,96,97,99,99,0.09,19143.88762,10721582,11.86,5.51,0.81,1.4,3420.9978,9922.17,5692.15,112.52023,7819.12
63,Guatemala,93.51,2.24,60.9,24.69,19.16,32.2,32.25,3.5,20.75,26.02,1.62,70.19,75.2,88,90,88,88,0.09,4647.807541,16604026,6.26,2.66,0.49,1,2636.0002,1805.84,2709.86,69.64835,8640.55
64,Guinea,67.68,10.5,26.31,8.21,9.34,40.9,16.77,2.9,37.57,37.94,0.33,59.8,62.36,47,47,48,47,0.91,1043.899886,12877539,NA,0.52,0.1,1.1,2813.0007,3349.69,4697.41,NA,15821.12
65,Guinea-Bissau,61.37,10.12,30.05,10.17,10.37,38,17.8,2.8,34.85,33.76,3.29,56.41,61.44,78,79,60,78,1.14,754.3816394,1970457,NA,NA,NA,1.1,2181,460.63,735.24,NA,1464.18
66,Guyana,94.95,7.26,54.51,26.19,20.87,40,33.64,3.9,11.11,31.94,5.16,65.58,71.99,99,98,97,99,1.09,6477.296726,798753,8.52,1.82,0.28,1.3,3106.9573,327.4,353.34,74.02576,315.04
67,Haiti,66.32,12.89,28.88,9.89,22.14,42.9,27.17,3.5,9.69,39.43,3.03,63.18,64.16,51,65,51,51,1.04,1345.475055,11160438,5.95,NA,NA,1.2,2112,3885.3,7179.61,NA,7019.99
68,Honduras,94.61,2.87,61.74,27.41,12.57,33.9,35.45,3.7,18.93,22.85,2.78,69.99,72.9,88,89,88,88,0.08,2498.509186,9958829,7.51,2.23,0.43,1.1,2632.9995,1967.96,3000.95,NA,1745.42
69,Hungary,100,2.54,60.76,29.63,10.3,48.3,27.55,3.6,14.24,37.42,11,72.98,79.52,NA,99,99,99,NA,16786.21364,9771141,11.96,5.11,0.73,1.4,3309.0002,9597.6,2560.53,162.29523,1566.98
70,Iceland,100,1.85,56.81,20.39,4.98,27.5,26.55,3.1,5.79,13.28,7.66,81.1,83.9,NA,93,93,92,0.08,68452.23622,360563,13.53,10.75,0.55,1.5,3656.8276,87.41,46.84,101.39262,79.11
71,India,91.56,16.26,26.47,6.18,20.48,31.1,45.44,3.2,50.17,26.52,2.98,69.18,72.41,91,95,90,91,NA,2050.1638,1383112050,7.8,2.54,0.58,1,2537,302418.53,473958.72,NA,436109.3
72,Indonesia,91.81,10.41,34.12,9.39,10.61,40.3,18.18,3.6,19.34,38.47,0.08,69.55,73.26,85,88,85,85,0.18,4151.227554,269582878,9.06,2.09,0.62,1.2,2913,168404.47,268467.66,NA,46893.04
73,Iran (Islamic Republic of),97.32,4.32,58.63,23.06,14.51,26.2,43.96,3.2,31.62,19.9,0.11,76.36,79.4,99,99,99,99,NA,NA,NA,NA,4.29,0.16,NA,NA,NA,NA,NA,NA
74,Iraq,97.78,2.61,71.67,38.75,24.19,48.1,50.71,3.5,39.29,41.72,0.16,70.26,75.37,84,86,85,84,0.02,5621.181695,41563520,8.27,0.42,0.08,1.2,2282.3914,13356.73,7303.91,NA,6266.09
75,Ireland,96,1.26,64.19,27.3,6.92,32.3,24.05,3.2,8.2,24.62,11.07,80.27,83.6,93,91,94,94,NA,80848.3019,4934340,13.74,15.99,0.79,1.5,3907.9993,1092.06,615.62,115.55594,1321.17
76,Israel,100,3.61,54.6,22.24,8.14,29.1,27.46,3.4,19.47,21.19,2.56,80.74,84.32,96,99,98,98,NA,44452.23256,9054000,12.04,9.98,0.83,1.3,3643.999,1358.35,1089.2,93.4821,1730.89
77,Italy,99.92,2.72,49.18,16.86,6.78,33.8,40.61,3.5,14.22,24.33,7.59,80.94,84.91,95,94,96,96,0.1,33673.75096,59729081,11.51,6.99,0.77,1.4,3647.9995,40061.1,19474.16,104.0509,16732.54
78,Jamaica,91,4.32,59.08,31.5,22.52,46.3,37.1,3.6,14.83,37.42,3.48,69.48,75.14,96,94,96,96,0.76,5626.170459,2813773,10.1,8.27,0.43,1.2,2915.994,1646.56,1302.28,NA,473.16
79,Japan,99.06,10.55,23.24,4.94,6.06,31.4,42.32,3.4,10.84,23.19,6.44,81.7,87.15,99,96,98,98,NA,40415.95676,126633000,12.83,4.88,0.61,1.6,2732,76438.53,52367.93,91.2651,120906.1
80,Jordan,98.95,2.75,70.08,38,18.95,37.7,28.12,3.6,25.87,25.65,0.29,79.73,80.34,89,87,87,89,0.01,4159.653754,10698683,10.81,3.17,0.78,1.2,2515.9995,1623.47,580.7,NA,848.93
81,Kazakhstan,95.43,3.49,51.83,17.64,9.64,41.9,26.49,3.1,26.5,29.16,3.86,68.84,77.2,97,99,97,97,NA,9812.595526,18513673,11.79,1.05,0.56,1.2,3371,12728.56,9331.09,79.05316,3625.27
82,Kenya,60.86,12.35,31.29,10.94,5.31,33.2,9.25,2.8,12.52,31.16,2.3,64.07,68.99,93,92,88,93,1.01,1970.08007,50951450,6.73,2.32,0.39,1.1,2300.9998,5742.73,10716.39,NA,23593.11
83,Kiribati,73.75,0.89,78.46,45.35,20.69,42.3,33.13,3.3,7.62,39.53,0.39,58.9,65.32,97,94,94,97,NA,1745.732415,124241,NA,4.33,0.41,0.8,3124.6982,22.73,93.69,NA,55.82
84,Kuwait,100,1.25,77.65,41.1,26.58,40.5,63.1,3.7,64.08,28.08,0,80.27,86.43,92,97,97,92,NA,31230.17295,4441100,6.62,2.78,0.19,1.2,3469.996,349.65,203.91,56.202736,422.54
85,Kyrgyzstan,89.86,3.18,56.08,24.68,11.01,40.9,19.2,3.2,37.58,36.76,4.44,69.92,77.14,95,96,96,95,NA,NA,NA,11.18,1.08,0.53,1.1,2762.9988,2002.86,1384.45,88.07422,831.39
86,Lao People's Democratic Republic,85.1,8.99,28.22,6.85,9.83,28.5,15.67,3.3,21.15,24.48,7.4,66.14,70.72,80,83,80,80,NA,NA,NA,NA,0.77,0.12,NA,NA,NA,NA,NA,NA
87,Latvia,98.74,3.07,57.91,23.47,8.36,43.9,15.18,3.7,12.02,36.31,12.9,71.05,79.97,99,99,99,99,0.42,17883.34941,1913822,11.96,4.38,0.8,1.5,3266.0137,4544.69,777.45,142.58171,469.02
88,Lebanon,92.6,2.38,64.29,28.73,18.55,38.1,55.64,3.9,24.23,27.86,1.17,76.92,81.47,74,81,73,76,NA,8925.42186,5781907,NA,1.66,0.1,1.3,2888.999,1513.37,876.27,54.121918,1589.89
89,Lesotho,72.88,7.02,40.57,19.23,7.2,40.1,8.2,2.5,17.6,32.73,3.48,48.96,54.91,87,90,87,87,8.71,1074.134047,2225702,6.88,2.77,0.51,1.1,1986.9911,953.14,1839.29,NA,2652.34
90,Liberia,74.16,6.38,34.95,14.44,10.28,39.4,16.22,2.8,35.8,36.08,2.84,62.68,64.2,70,68,69,70,0.51,665.8784476,4985289,5.8,1.41,0.57,1.1,2130,1054.86,1519.38,NA,3100.9
91,Libya,99.89,4.17,66.71,35.4,27.13,42.7,44.07,3.1,29.84,37.99,0.008,71.47,75.7,73,73,73,73,NA,10972.90252,6569088,9.57,2.53,0.09,1.2,3180.0024,2007.4,966.55,NA,807.18
92,Lithuania,98,2.08,57.83,24.6,10.34,48,20.67,3.7,10.37,41.92,10.97,71.45,80.82,92,93,92,92,0.15,19615.54915,2794137,12.5,4.92,0.74,1.4,3295.9966,4336.43,940.44,134.50174,648.71
93,Luxembourg,99.88,2.22,51.59,18.28,5.73,30.5,15.4,3.3,8.89,21.54,11.28,80.83,84.74,96,99,99,99,0.14,112726.4397,620001,11.53,6.4,0.68,1.6,3512.9375,140.72,85.37,95.46418,147.94
94,Madagascar,51.17,18.46,15.19,3.51,8.15,36.9,13.54,2.9,16.02,34.55,0.71,62.83,64.82,70,60,69,70,0.5,512.2796656,27533134,NA,1.05,0.8,1.1,1994.9998,5419.64,15018.17,NA,21275.41
95,Malawi,69.46,8.5,22.47,6.57,5.28,29.5,3.45,2.5,18.57,26.31,1.75,60.43,66.05,95,92,94,95,2.26,587.1154647,18867337,5.41,0.71,0.56,0.9,2597,4139.87,5978.74,NA,10033.64
96,Malaysia,97.09,6.02,52.41,20.15,23.23,40.8,40.15,4.2,21.52,32.92,0.67,72.71,76.99,97,97,98,98,0.18,11132.10274,32804020,11.96,4.1,0.51,1.3,2948.9995,9336.12,14192.08,51.54306,20402.92
97,Maldives,99.53,7.61,48.62,15.19,12.58,34.1,24.44,3.5,13,29.08,1.31,74.41,76.86,98,99,99,98,0.01,11349.85927,504508,8.06,6.49,0.66,1.1,2575.9592,350.98,286.57,36.790184,141.6
98,Mali,79.28,9.25,30.79,10.01,7.7,34.6,30.57,2.9,38.55,29.56,3.53,61.28,62.41,77,71,70,77,0.53,840.1757464,20567424,3.55,1.44,0.28,1.1,2789.9985,2608.62,4581.89,NA,19117.28
99,Malta,100,1.81,64.65,31.57,9.38,29.5,42.71,3.7,12.93,16.26,9.04,80.31,83.98,98,96,98,98,0.17,31751.18118,504062,12.09,6.52,0.78,1.4,3325.8943,179.72,90.75,97.20404,262.12
100,Marshall Islands,85.72,1.88,72.96,44.64,30.88,31.9,25.89,3.3,7.21,27.19,NA,NA,NA,82,85,78,79,NA,5186.833842,44728,NA,2.5,0.54,1,NA,7.15,38.09,NA,14.98
101,Mauritania,72.54,8.57,44.85,20.49,10.48,37.9,41.34,3,41.98,33.75,0,70,70.38,80,75,75,80,0.18,1800.875187,4383849,5.55,1.07,0.06,1.1,2950.998,998.32,1039.93,NA,2120.56
102,Mauritius,99.96,6.63,50.23,18.21,24,33.1,29.3,3.7,10.48,21.67,6.98,70.83,77.43,97,99,97,96,NA,11403.25279,1265985,10.4,3.75,0.81,1.2,3025.9907,503.04,491.43,82.16489,674.11
103,Mexico,99.12,1.5,72.05,34,15.82,32.1,27.16,3.8,17.83,23.21,4.78,72.8,78.89,56,73,82,82,0.28,10434.56762,125085311,10.18,3,0.68,1.1,3270,19258.07,17286.81,71.76023,32857.15
104,Micronesia (Federated States of),90.11,2.02,71.16,45.6,32.73,32.9,30.95,3.5,7.79,28.44,1.58,63.28,68.81,84,78,78,78,NA,NA,NA,NA,3.75,0.47,NA,NA,NA,NA,NA,NA
105,Monaco,100,NA,NA,NA,NA,NA,NA,NA,9.21,NA,NA,NA,NA,99,88,99,99,NA,199382.8386,37034,NA,11.85,NA,NA,NA,114.51,21.97,NA,71.67
106,Mongolia,81.44,3.11,55.74,22.16,12.99,42.8,23.74,3.7,41.3,31.73,7.19,66.27,75.47,98,98,98,98,0.02,4394.94715,3232430,10,0.81,0.45,1.4,2856.9956,372.91,2327.79,213.21913,388.18
107,Montenegro,98.68,2.12,49.09,16.91,9.69,45.1,22.01,3.6,19.3,34.75,NA,73.89,79.73,62,33,85,85,0.07,8909.653876,622028,NA,2.73,0.77,1.4,3462.9836,472.34,1248.86,113.9906,63.17
108,Morocco,84.98,5.52,53.36,20.23,18.21,35.3,23.93,2.8,13.44,31.75,0.47,72.85,74.64,99,99,99,99,0.04,3498.582764,36304408,6.83,2.24,0.76,1.1,3386.0002,20372.3,9027.29,NA,6218.53
109,Mozambique,57.58,10.94,24.59,8.76,7.22,38.6,9.05,3,16.45,35.75,1.48,55.39,61.67,85,83,84,85,8.19,512.2157569,30285595,4.22,0.85,0.29,1.1,2081.9998,7712.04,17503.31,NA,17667.04
110,Myanmar,78.91,15.44,25.27,6.67,12.03,37.8,21.74,3.7,27.16,32.16,1.93,65.69,72.04,90,84,90,90,0.35,1415.248986,53040212,6.48,0.91,0.5,1.1,2774,20633.11,41384.79,NA,15719.45
111,Namibia,84.84,13.3,35.16,15.94,10.2,43.8,26.66,2.8,11.81,34.36,5.04,59.99,66.9,87,80,84,87,5.68,5126.176143,2446644,6.88,3.58,0.42,1.2,2574.9915,651.68,746.49,NA,1307.19
112,Nepal,90.29,11.34,27.44,5.73,14.31,36.1,8.45,3.2,36.43,33.5,0.8,69.56,73.1,93,92,92,93,0.04,1185.682318,28832496,6.19,2.32,0.27,1.1,2845,5605.41,7784.15,NA,6694.2
113,Netherlands (Kingdom of the),100,1.81,46.35,14.25,5.95,30.5,10.52,3.3,10.74,23.52,8.29,80.85,83.76,92,94,94,94,NA,NA,NA,NA,9.48,0.77,NA,NA,NA,NA,NA,NA
114,New Zealand,100,1.4,66.5,32.3,8.26,30.9,19.07,3.4,8.61,22.42,9.12,80.16,83.43,92,92,92,92,0.04,42747.20993,4979200,10.81,20.04,0.82,1.4,3129.998,1582.02,807.91,NA,927.61
115,Nicaragua,81.61,2.93,65.77,31.79,13.9,35.8,37.64,3.4,16,23.43,3.73,76.3,81.27,98,99,99,98,0.14,1905.640917,6663924,7.76,3.56,0.69,1,2609.0002,544.48,673.92,58.758427,745.13
116,Niger,47.37,18.79,16.91,5.19,6.25,41.5,16.8,2.8,50.15,39,0.09,59.64,61.52,81,79,81,81,0.09,549.8161278,23443393,3.04,0.9,0.32,1,2595.999,3115.04,7192.23,NA,27456.14
117,Nigeria,74.72,9.43,32.56,11.01,9.97,36.1,18.24,2.6,55.64,32.08,2.95,61.68,64.51,66,58,66,66,NA,2334.023642,203304492,NA,1.05,0.37,1.1,2539.9998,30024.31,31641.76,NA,197057.95
118,Niue,97.01,0.62,87.84,64.86,23.8,39.5,7.98,3.4,6.74,32.23,8.5,NA,NA,99,99,99,99,NA,NA,NA,NA,16,0.58,0.9,NA,1.28,2.42,NA,1.03
119,North Macedonia,97.73,2.86,60.6,25.78,9.85,45.1,25.22,3.6,25.17,34.84,4.04,76.25,76.92,92,75,92,92,0.04,6718.858266,1876262,NA,1.8,0.8,1.4,3082.007,3528.57,1155.76,113.80549,179.58
120,Norway,100,1.36,56.67,18.27,5.4,30.5,34.69,3.5,6.3,21.8,6.02,81.12,84.16,96,97,97,97,NA,76430.58895,5347896,12.08,14.24,0.62,1.4,3531.9966,1507.91,874.09,NA,1736.53
121,"occupied Palestinian territory, including east Jerusalem",97.59,2.25,68.62,36.71,19.9,39.1,31.44,NA,30.82,31.63,NA,74,77.6,99,99,99,99,NA,NA,NA,NA,6.46,0.93,NA,NA,NA,NA,NA,NA
122,Oman,91.89,5.07,63.94,29,22.61,45.6,39.21,3.4,34.88,39.32,0.47,73.09,78.85,99,99,99,99,0.05,19132.15227,4602768,NA,5.72,0.64,1.2,3084.0007,784.81,400.46,23.367346,537.39
123,Pakistan,90.19,8.84,49.86,19.61,27.43,43.2,42.83,3.1,50.13,38.29,0.059,66.3,67.79,84,81,84,84,NA,1437.165833,223293280,6.41,0.48,0.61,1.1,2449,45449.05,66183.12,NA,66295.6
124,Palau,99.55,1.34,71.35,40.44,16.98,44.2,26.76,3.2,7.82,38.06,NA,NA,NA,98,97,97,97,NA,15730.55955,17916,NA,7,0.71,1,NA,7.86,15.79,NA,6.39
125,Panama,94.18,2.5,68.97,33.19,8.65,36.1,54.63,3.7,11.78,25.81,6.28,76.2,81.86,88,97,88,88,0.62,16472.83175,4232532,10.44,4,0.57,1,3053.9941,1190.63,902.85,74.39759,626.38
126,Papua New Guinea,47.08,3.97,49.68,19.22,20.95,27.8,12.74,3.6,8.89,24.98,1.2,65.57,67.92,35,37,42,35,0.82,2593.775554,9542486,4.84,5.76,0.53,1,2194.9995,906.39,4381.4,NA,2648.49
127,Paraguay,99.59,2.43,66.76,30.37,13.26,56.4,33.99,3.5,12.31,49.24,5.29,72.18,78.16,86,87,84,86,NA,5807.838794,6530026,8.83,0.31,0.18,1.1,3096.0005,1603.72,1379.65,81.25842,2110.16
128,Peru,93,1.09,64.73,24.38,13.87,20.7,32.85,3.4,29.07,16.17,5.66,76.69,79.88,88,85,87,88,0.3,6956.495749,32824861,9.96,3.48,0.68,1.1,2803.9995,4771.14,5425.28,76.022484,18621.12
129,Philippines,93.64,10.43,32.62,7.69,11.05,33.8,40.23,4,22.45,28.02,5.02,66.05,73.22,82,83,85,84,0.28,3413.849044,110380804,9.44,2.03,0.56,1.1,2816,25633.89,51797.32,79.463615,80395.86
130,Poland,91.82,2.65,61.11,25.8,9.52,49.2,34.65,3.5,18.83,33.29,10.72,73.94,81.5,90,93,87,95,0.06,15700.01358,37965475,12.01,4.44,0.78,1.4,3477.0002,25578.93,8711.21,135.18028,21352.25
131,Portugal,99.22,2.17,54.6,20.74,7,32.3,50.4,3.6,7.34,17.89,10.24,78.38,84.15,98,99,99,99,0.18,23330.81729,10286263,9.56,5.21,0.79,1.4,3484.9998,8493.58,4018.06,114.54254,5943.96
132,Qatar,99.97,2.48,75.73,41.33,25.38,40.9,52.55,3,59.04,31.18,0.98,78.49,79.84,98,99,99,98,0.04,62827.39696,2807235,8.52,6.04,0.68,1.2,3480.9976,112.45,162.79,37.98419,109.92
133,Republic of Korea,99.77,4.95,34.25,6.09,9.76,26.7,53.3,3.4,24.04,12.68,7.76,80.56,86.56,98,98,98,98,NA,NA,NA,NA,3.78,0.74,NA,NA,NA,NA,NA,NA
134,Republic of Moldova,90.7,2.36,59.92,23,8.45,48.3,11.29,3.2,12.37,44.26,6.34,69.32,77.17,94,97,94,91,NA,NA,NA,NA,1.97,0.62,NA,NA,NA,NA,NA,NA
135,Romania,100,3.38,62.11,30.2,10.98,48.4,33.75,3.6,13.3,34.11,10.65,71.78,79.23,90,90,88,88,0.06,12957.99911,19371648,11.28,5.03,0.7,1.4,3645.9998,33295.01,12918.65,134.44212,9441.68
136,Russian Federation,96.8,3.63,57.48,23.59,7.55,44.3,16.8,3.6,8.88,36.43,7.11,68.17,78,97,98,96,97,NA,11447.70117,145453291,NA,2.15,0.56,NA,NA,NA,NA,NA,NA
137,Rwanda,62.41,10.13,17.7,3.99,5.03,29.8,9.92,2.6,35.66,28.1,1.35,65.65,69.62,98,96,98,98,0.52,806.332472,12835028,5.24,1.06,0.64,1,2198.0002,1890.58,4418.3,NA,6644.91
138,Saint Lucia,96.89,3.97,60.86,31.12,18.48,39.8,21.23,3.5,8.98,31.06,10.23,72.53,79.93,92,96,91,92,NA,NA,NA,NA,3.31,0.51,1.1,2668.7908,77.23,65.44,106.14895,43.82
139,Samoa,96.42,0.42,86.93,60.44,16.75,38.3,15.83,3.7,7.78,34.55,1.91,68.77,71.31,68,96,68,68,NA,4308.300729,211905,NA,5.41,0.49,1,3052.928,41.05,130.26,NA,75.75
140,San Marino,100,NA,NA,NA,NA,NA,26.37,NA,9.85,NA,NA,NA,NA,87,86,88,88,NA,47287.39839,34178,NA,NA,NA,NA,NA,21.92,7.78,NA,6.61
141,Sao Tome and Principe,77.34,6.39,40.08,14.76,14.19,45.1,17.88,2.7,33.75,40.86,4.17,70.16,73.18,95,95,95,95,0.1,1924.40815,214599,NA,1.42,0.34,1.1,2374.8672,65.59,58.19,NA,111.11
142,Saudi Arabia,98.66,4.13,71.08,39.06,21.92,34,52.59,3.4,57.16,26.79,0,76.45,77.75,96,95,97,96,0.03,23405.70874,35827362,9.86,7.47,0.74,1.2,3219.9995,1874.92,1121.48,NA,2923.4
143,Senegal,82.7,17.27,28.66,9.27,8,40.5,16.92,2.9,38.21,36.64,0.31,67.08,70.28,95,86,97,96,0.14,1462.678353,16000781,4.4,1.26,0.38,1.1,2704.9995,3499.79,4456.76,NA,6411.57
144,Serbia,94.91,3.44,53.34,21.05,9.72,46.1,45.2,3.7,21.74,34.53,NA,73.26,78.46,94,87,97,97,0.05,7417.206608,6945235,11.72,2.83,0.77,1.4,3463.002,11888.29,3186.97,147.35765,2268.12
145,Seychelles,96.29,4.31,59.39,27.88,15.14,44.3,20.5,3.7,16.96,32.53,13.27,70.08,76.65,99,99,99,99,NA,19141.51187,97625,NA,7.12,0.7,1.2,3131.52,42.7,43.61,125.94745,68.25
146,Sierra Leone,61.93,8.37,21.75,6.61,10.38,40.8,13.26,2.8,39.42,37.33,0.19,59.5,61.3,95,93,95,95,0.81,506.6069138,8046828,4.99,0.62,0.23,1.1,2296,2239.5,3286.77,NA,8063.66
147,Singapore,100,7.48,38.49,11.77,12.31,31.5,23.11,3.8,13.33,19.66,1.82,81.81,85.98,96,96,97,97,NA,66081.71992,5703569,13.06,10.25,0.67,1.4,NA,653.33,795.42,85.445435,4983.57
148,Slovakia,99.79,2.72,59.09,24.86,7.96,42.7,23.54,3.6,15.89,27.82,10.33,74.23,80.9,97,96,97,97,NA,NA,NA,13.14,4.15,0.76,1.4,3024.9934,3252.61,1197.88,138.0385,2345.81
149,Slovenia,99.5,2.27,54.4,18.09,9.77,45.3,18.69,3.6,14.08,34.99,10.39,78.57,84.04,NA,94,95,95,NA,26042.44635,2088385,12.06,4.5,0.79,1.4,3147.9924,1505.03,447.98,128.23868,405.74
150,Solomon Islands,67.15,2.57,54.98,21.43,6.81,29.8,19.27,3.7,7.83,27.81,1.15,63.37,68.29,94,81,93,94,NA,2398.77305,674993,NA,NA,NA,1,2400.9644,127.46,565.26,NA,416.86
