,Country,Acs_Water_Service,BMI18,BMI25,BMI30,Diab,Hyp_Ten,Insuf_Phy,N_HDL_Chol,PM2.5,R_Bld_P,Alc_pcgmp,Male.Life.Exp,Female.Life.Exp,Hep83,MCV1,Pol3,DTP3,HIV,PCGMP,Pop,EduAvg,P_Ciga,Tax_Ciga,HDL_Chol,Cal_Daily,Isc_Stroke_Death,Hae_Stroke_Death,Cancer_Death,Res_Dis_Death
176,United States of America,99.74,1.89,71.3,40.46,11.53,31.6,33.25,3.3,7.18,16.56,8.93,76.53,80.98,91,90,93,94,NA,NA,NA,NA,7.33,0.4,NA,NA,NA,NA,NA,NA
177,Uruguay,99.49,2.21,65.05,30.67,13.25,42.4,32.98,3.6,8.48,30.14,5.16,73.36,80.5,94,96,93,94,0.45,18149.05629,3428409,8.76,3.89,0.66,1.2,3277.998,1915.26,1033.84,139.82904,1501.68
178,Uzbekistan,95.63,2.45,59.57,27.36,16.18,45.7,27.52,3.6,40.98,38.16,2.55,70.15,74.28,96,98,98,96,NA,1795.201768,33580350,NA,0.83,0.56,1.2,3235.0002,12491.18,10860.31,59.34124,3971.29
179,Vanuatu,90.07,2.64,50.36,20.27,20.36,39.5,7.98,3.6,8.42,37.59,1.66,64.12,70.64,90,80,90,90,NA,3076.589886,304404,NA,6.49,0.53,1,2798.8713,72.22,205.76,NA,118.12
180,Venezuela (Bolivarian Republic of),93.86,4.15,54.79,22.83,10.97,39.4,44.58,3.2,16.21,26.54,2.71,68.38,77.35,64,93,62,64,NA,NA,NA,NA,2.07,0.73,NA,NA,NA,NA,NA,NA
181,Viet Nam,95.99,14.41,15.41,1.57,8.88,29.7,27.95,3.5,20.89,25.93,3.42,69.51,78,89,95,89,89,0.14,3491.09141,95776716,NA,0.93,0.39,NA,NA,NA,NA,NA,NA
182,Yemen,59.72,11.68,35.22,12.19,17.28,29.3,27.8,3.4,41.61,24.45,0.018,63.95,70.01,60,54,59,60,NA,NA,NA,5.56,2.4,0.51,1.1,2029.9998,9060.69,6621.39,NA,10170.36
183,Zambia,66.85,8.89,27.29,9.56,10.9,32.3,14.33,2.7,16.9,29.22,3.25,59.43,63.95,88,93,89,88,6.06,1268.120941,18380477,8.37,1.16,0.39,1.1,2243.0002,1428.59,3796.07,NA,7666.81
184,Zimbabwe,63.09,7.11,32.78,12.77,11.15,42.3,17.65,2.8,13.08,35.33,2.78,56.9,61.02,90,85,90,90,2.55,1421.868596,15354608,8.32,1.24,0.29,1.3,2025.0006,3487.46,5907.43,NA,12180.31
185,American Samoa,NA,0.34,91.28,74.37,30.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,Argentina,NA,1.75,66.05,32.43,10.14,47.5,37.64,3.4,12.04,40.42,7.64,74,79.91,83,86,83,83,0.19,9963.674162,44938712,9.86,1.95,0.77,1.2,3270.0002,11206.85,11212.04,109.623726,38321.1
187,Bahamas,NA,3.41,74.23,45.05,18.08,44.5,37.25,3.5,5.2,34.54,9.46,68.08,73.26,89,83,89,89,NA,NA,NA,NA,10,0.43,1.3,2551.981,101.69,123.09,NA,114.85
188,Bermuda,NA,4.97,60.74,30.89,19.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,Comoros,NA,6.61,40.17,14.37,5.67,33.2,15.74,2.9,14.37,29.41,0.18,66.8,69.43,78,76,71,78,NA,1510.797324,790986,NA,0.96,0.74,1.1,2488.9905,162.56,292.27,NA,521.46
190,Croatia,NA,2.06,62.38,28.15,8.36,48.4,25.69,3.7,15.29,38.92,10.14,75.58,81.59,93,93,94,94,0.04,15218.5258,4065253,12.03,3.92,0.84,1.4,3183.0007,3936.38,1360.81,146.68248,327.4
